timestamp,Message,data
2023-05-03T19:33:53,"{'pow': [4.821, 11.563, 2.691, 0.927, 0.502, 2.0, 1.009, 0.72, 0.483, 0.168, 10.246, 13.817, 1.439, 1.041, 0.435, 4.045, 8.887, 1.149, 0.998, 0.306, 4.7, 15.205, 1.653, 1.071, 0.311], 'time': 1683167633.5551}",
2023-05-03T19:33:53,"{'mot': [11, 0, 0.892131, -0.09375, 0.4375, 0.0625, 0.968765, 0.156252, -0.187503, -76.563667, -18.569677, 38.281834], 'time': 1683167633.5707}",
2023-05-03T19:33:53,"{'mot': [23, 0, 0.782967, 0.125, 0.5625, -0.234375, 0.968765, 0.156252, -0.187503, -76.563667, -15.70294, 38.281834], 'time': 1683167633.7582}",
2023-05-03T19:33:53,"{'mot': [9, 0, 0.86122, 0.0625, 0.484375, -0.140625, 0.968765, 0.156252, -0.187503, -76.563667, -18.199375, 38.281834], 'time': 1683167633.5394}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5238}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.6176}",
2023-05-03T19:33:53,"{'mot': [24, 0, 0.515862, 0.40625, 0.484375, -0.578125, 0.968765, 0.156252, -0.187503, -76.563667, -14.132646, 38.281834], 'time': 1683167633.7738}",
2023-05-03T19:33:53,"{'mot': [30, 0, 0.808131, 0.21875, 0.4375, -0.328125, 0.968765, 0.156252, -0.187503, -76.563667, -20.086634, 38.281834], 'time': 1683167633.8676}",
2023-05-03T19:33:53,"{'mot': [25, 0, 0.997923, 0.0, 0.0625, 0.015625, 0.968765, 0.156252, -0.187503, -76.563667, -12.719381, 38.281834], 'time': 1683167633.7894}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.9926}",
2023-05-03T19:33:53,"{'mot': [38, 0, 0.994001, -0.03125, 0.09375, 0.046875, 1.000015, 0.156252, -0.187503, -76.563667, -15.73234, 38.281834], 'time': 1683167633.9926}",
2023-05-03T19:33:53,"{'mot': [37, 0, 0.996821, 0.0, 0.078125, 0.015625, 1.000015, 0.156252, -0.187503, -76.563667, -17.480377, 38.281834], 'time': 1683167633.9769}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.9613}",
2023-05-03T19:33:53,"{'mot': [36, 0, 0.527329, 0.4375, 0.421875, -0.59375, 1.000015, 0.156252, -0.187503, -76.563667, -19.422642, 38.281834], 'time': 1683167633.9613}",
2023-05-03T19:33:53,"{'mot': [35, 0, 0.714833, 0.171875, 0.609375, -0.296875, 1.000015, 0.156252, -0.187503, -76.563667, -21.580713, 38.281834], 'time': 1683167633.9457}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.9301}",
2023-05-03T19:33:53,"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.8988}",
2023-05-03T19:33:53,"{'signal': 1.0, 'dev': [4, 4, 4, 4, 4, 100], 'batteryPercent': 80, 'time': 1683167633.9301}",
2023-05-03T19:33:53,"{'pow': [4.673, 14.756, 2.559, 1.012, 0.468, 1.443, 0.753, 0.95, 0.443, 0.16, 15.493, 28.733, 1.725, 1.42, 0.382, 6.982, 10.064, 1.71, 1.191, 0.314, 8.54, 20.345, 1.502, 1.103, 0.379], 'time': 1683167633.9301}",
2023-05-03T19:33:53,"{'mot': [34, 0, 0.731377, 0.21875, 0.546875, -0.34375, 1.000015, 0.156252, -0.187503, -76.563667, -19.725033, 38.281834], 'time': 1683167633.9301}",
