Message,timestamp,data
"{'mot': [61, 0, 0.638334, 0.296875, 0.546875, -0.453125, 1.000015, 0.156252, -0.218753, -76.563667, -15.669548, 38.281834], 'time': 1683167633.3519}",2023-05-03 19:33:53.354746+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.3363}",2023-05-03 19:33:53.354832+00:00,500.4742563561665 499.86174221481247
"{'mot': [62, 0, 0.772766, 0.015625, 0.625, -0.109375, 1.000015, 0.156252, -0.187503, -76.563667, -14.102593, 38.281834], 'time': 1683167633.3676}",2023-05-03 19:33:53.394079+00:00,500.4742563561665 499.86174221481247
"{'mot': [63, 0, 0.991418, 0.078125, 0.046875, -0.09375, 1.000015, 0.156252, -0.218753, -76.563667, -16.520517, 38.281834], 'time': 1683167633.3832}",2023-05-03 19:33:53.394211+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.3676}",2023-05-03 19:33:53.394298+00:00,500.4742563561665 499.86174221481247
"{'mot': [0, 0, 0.976531, 0.140625, 0.046875, -0.15625, 1.000015, 0.156252, -0.187503, -76.563667, -18.69665, 38.281834], 'time': 1683167633.3988}",2023-05-03 19:33:53.434124+00:00,500.4742563561665 499.86174221481247
"{'mot': [1, 0, 0.950688, 0.1875, 0.078125, -0.234375, 0.968765, 0.125002, -0.187503, -76.563667, -20.655169, 38.281834], 'time': 1683167633.4144}",2023-05-03 19:33:53.434250+00:00,500.4742563561665 499.86174221481247
"{'mot': [2, 0, 0.991418, 0.078125, 0.046875, -0.09375, 1.000015, 0.156252, -0.218753, -76.563667, -18.589651, 38.281834], 'time': 1683167633.4301}",2023-05-03 19:33:53.434351+00:00,500.4742563561665 499.86174221481247
"{'pow': [4.974, 10.537, 3.142, 1.16, 0.565, 2.772, 1.29, 0.72, 0.485, 0.176, 9.262, 10.865, 2.205, 1.298, 0.486, 4.282, 9.087, 1.782, 1.453, 0.368, 4.342, 13.505, 1.954, 1.358, 0.346], 'time': 1683167633.4301}",2023-05-03 19:33:53.434470+00:00,500.4742563561665 499.86174221481247
"{'signal': 1.0, 'dev': [4, 4, 4, 4, 4, 100], 'batteryPercent': 80, 'time': 1683167633.4301}",2023-05-03 19:33:53.434550+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.3988}",2023-05-03 19:33:53.434626+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.4301}",2023-05-03 19:33:53.434700+00:00,500.4742563561665 499.86174221481247
"{'mot': [3, 0, 0.950688, 0.1875, 0.078125, -0.234375, 0.968765, 0.125002, -0.187503, -76.563667, -20.558868, 38.281834], 'time': 1683167633.4457}",2023-05-03 19:33:53.473595+00:00,500.4742563561665 499.86174221481247
"{'mot': [4, 0, 0.897044, 0.25, 0.1875, -0.3125, 0.968765, 0.156252, -0.187503, -76.563667, -18.502983, 38.281834], 'time': 1683167633.4613}",2023-05-03 19:33:53.473734+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.4613}",2023-05-03 19:33:53.473820+00:00,500.4742563561665 499.86174221481247
"{'mot': [5, 0, 0.832242, 0.203125, 0.421875, -0.296875, 0.968765, 0.156252, -0.187503, -76.563667, -16.652683, 38.281834], 'time': 1683167633.4769}",2023-05-03 19:33:53.494091+00:00,500.4742563561665 499.86174221481247
"{'mot': [6, 0, 0.782967, 0.125, 0.5625, -0.234375, 1.000015, 0.156252, -0.218753, -76.563667, -14.987415, 38.281834], 'time': 1683167633.4926}",2023-05-03 19:33:53.494271+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.4926}",2023-05-03 19:33:53.494389+00:00,500.4742563561665 499.86174221481247
"{'mot': [7, 0, 0.49534, 0.453125, 0.421875, -0.609375, 1.000015, 0.156252, -0.187503, -76.563667, -13.488674, 38.281834], 'time': 1683167633.5082}",2023-05-03 19:33:53.533518+00:00,500.4742563561665 499.86174221481247
"{'mot': [8, 0, 0.936458, -0.0625, 0.34375, 0.03125, 0.968765, 0.156252, -0.187503, -76.563667, -15.96799, 38.281834], 'time': 1683167633.5238}",2023-05-03 19:33:53.533647+00:00,500.4742563561665 499.86174221481247
"{'eyeAct': 'neutral', 'uAct': 'frown', 'uPow': 1.0, 'lAct': 'smile', 'lPow': 0.65, 'time': 1683167633.5238}",2023-05-03 19:33:53.533730+00:00,500.4742563561665 499.86174221481247
"{'mot': [9, 0, 0.86122, 0.0625, 0.484375, -0.140625, 0.968765, 0.156252, -0.187503, -76.563667, -18.199375, 38.281834], 'time': 1683167633.5394}",2023-05-03 19:33:53.574575+00:00,500.4742563561665 499.86174221481247
